thickness,k,n_trees,min_node_size,max_depth,beta,fold,auc,auc_avg,auc_std
50,5,1000,0.5%,2,0.4,1,0.9667037129402161,0.9680641293525696,0.0034242270048707724
50,5,1000,0.5%,2,0.4,2,0.9679715037345886,0.9680641293525696,0.0034242270048707724
50,5,1000,0.5%,2,0.4,3,0.972135603427887,0.9680641293525696,0.0034242270048707724
50,5,1000,0.5%,2,0.4,4,0.9632167816162109,0.9680641293525696,0.0034242270048707724
50,5,1000,0.5%,2,0.5,0,0.970211923122406,0.9699475169181824,0.0034448003862053156
50,5,1000,0.5%,2,0.5,1,0.9693045616149902,0.9699475169181824,0.0034448003862053156
50,5,1000,0.5%,2,0.5,2,0.971787691116333,0.9699475169181824,0.0034448003862053156
50,5,1000,0.5%,2,0.5,3,0.9738280773162842,0.9699475169181824,0.0034448003862053156
50,5,1000,0.5%,2,0.5,4,0.9646053910255432,0.9699475169181824,0.0034448003862053156
50,5,1000,0.5%,2,0.6,0,0.9732198119163513,0.9714024662971497,0.0021244508679956198
50,5,1000,0.5%,2,0.6,1,0.9702797532081604,0.9714024662971497,0.0021244508679956198
50,5,1000,0.5%,2,0.6,2,0.9707673788070679,0.9714024662971497,0.0021244508679956198
50,5,1000,0.5%,2,0.6,3,0.9739304780960083,0.9714024662971497,0.0021244508679956198
50,5,1000,0.5%,2,0.6,4,0.9688148498535156,0.9714024662971497,0.0021244508679956198
50,5,1000,0.5%,2,0.7,0,0.9738019704818726,0.9721969366073608,0.0022922614589333534
50,5,1000,0.5%,2,0.7,1,0.9707499742507935,0.9721969366073608,0.0022922614589333534
50,5,1000,0.5%,2,0.7,2,0.972222089767456,0.9721969366073608,0.0022922614589333534
50,5,1000,0.5%,2,0.7,3,0.9749630689620972,0.9721969366073608,0.0022922614589333534
50,5,1000,0.5%,2,0.7,4,0.9692480564117432,0.9721969366073608,0.0022922614589333534
50,5,1000,0.5%,2,0.8,0,0.9736009836196899,0.9731119275093079,0.0018004650482907891
50,5,1000,0.5%,2,0.8,1,0.9712262153625488,0.9731119275093079,0.0018004650482907891
50,5,1000,0.5%,2,0.8,2,0.9748600721359253,0.9731119275093079,0.0018004650482907891
50,5,1000,0.5%,2,0.8,3,0.9746759533882141,0.9731119275093079,0.0018004650482907891
